Batch_Id,OG,ABV,pH,IBU,Beer 
109,6.7,2.5,5.8,5.3,Light Lager
110,7.2,3.6,6.1,5,Light Lager
111,6.5,3.2,5.1,4.7,Light Lager
112,6.4,2.7,5.3,4.4,Light Lager
113,6.8,3,5.5,4.1,Light Lager
114,5.7,2.5,5,7.7,Light Lager
115,5.8,2.8,5.1,7.4,Light Lager
116,6.4,3.2,5.3,7.1,Light Lager
117,6.5,3,5.5,6.8,Light Lager
118,7.7,3.8,6.7,6.5,Light Lager
119,7.7,2.6,6.9,6.2,Light Lager
120,6,2.2,5,5.9,Light Lager
121,6.9,3.2,5.7,5.6,Light Lager
122,5.6,2.8,4.9,5.3,Light Lager
123,7.7,2.8,6.7,5,Light Lager
124,6.3,2.7,4.9,4.7,Light Lager
125,6.7,3.3,5.7,4.4,Light Lager
126,7.2,3.2,6,4.1,Light Lager
127,6.2,2.8,4.8,1.8,Light Lager
128,6.1,3,4.9,7.7,Light Lager
129,6.4,2.8,5.6,7.4,Light Lager
130,7.2,3,5.8,7.1,Light Lager
131,7.4,2.8,6.1,6.8,Light Lager
132,7.9,3.8,6.4,6.5,Light Lager
133,6.4,2.8,5.6,6.2,Light Lager
134,6.3,2.8,5.1,5.9,Light Lager
135,6.1,2.6,5.6,5.6,Light Lager
136,7.7,3,6.1,5.3,Light Lager
137,6.3,3.4,5.6,5,Light Lager
138,6.4,3.1,5.5,4.7,Light Lager
139,6,3,4.8,4.4,Light Lager
140,6.9,3.1,5.4,4.1,Light Lager
141,6.7,3.1,5.6,7.7,Light Lager
142,6.9,3.1,5.1,7.4,Light Lager
143,5.8,2.7,5.1,7.1,Light Lager
144,6.8,3.2,5.9,6.8,Light Lager
145,6.7,3.3,5.7,6.5,Light Lager
146,6.7,3,5.2,6.2,Light Lager
147,6.3,2.5,5,5.9,Light Lager
148,6.5,3,5.2,5.6,Light Lager
149,6.2,3.4,5.4,5.3,Light Lager
150,5.9,3,5.1,5,Light Lager
